Region/Country/Economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Nepal,6.7,7.1,7.4,7.7,8.3,8.6,9.1,9.5,9.8,10.3,10.9,11.4,11.4,11.9,12.4,12.9,13.3,13.8,14.6,15.3,16,16.6,17.3,18.1,19.1,19.7
Pakistan,79.9,83.9,90.4,92,95.4,100.1,105,106.1,108.8,112.8,117.6,119.9,123.8,129.7,139.3,150,159.3,167,169.8,174.6,177.4,182.3,188.7,197,206.2,215.9
Philippines,94.5,94,94.3,96.3,100.5,105.2,111.4,117.1,116.5,120.1,125.3,129,133.7,140.3,149.7,156.9,165.1,176,183.3,185.4,199.6,206.9,220.7,236.3,251,265.8
Singapore,67.6,72.1,77.2,86.1,95.5,102.2,109.9,119.1,116.4,123.5,134.5,133.2,138.8,145,158.8,170.7,185.8,202.8,206.4,205.2,236.4,251.1,260.3,272.5,281.4,287
Sri Lanka,20.6,21.6,22.5,24.1,25.4,26.8,27.8,29.6,31,32.3,34.3,33.7,35.1,37.2,39.2,41.6,44.8,47.9,50.7,52.5,56.7,61.5,67.1,69.4,72.8,76.3
Chinese Taipei,155.1,168.1,182,194.4,208.9,222.5,236.3,250.7,261.3,278.8,296.7,293,309.3,322.1,343,361.6,381.9,406.8,409.7,403.3,446.1,463.1,472.7,483.1,502,505.8
Thailand,141.6,153.7,166.2,179.9,194.3,210,221.9,215.8,199.3,208.4,217.7,225.2,239.1,256.2,272.4,283.8,297.9,314.1,319.5,317.1,340.9,343.8,368.6,378.6,381.7,392.5
Viet Nam,29.5,31.2,33.9,36.7,39.9,43.7,47.8,51.7,54.7,57.3,61.1,64.9,69,73.8,79.4,85.4,91.3,97.8,103.4,108.9,115.9,123.2,129.6,136.7,144.8,154.5
Other Asia,34.3,35.4,37.7,39.3,41.1,39.6,40.7,41,40.9,41.7,42.8,44.7,47.9,50.7,55.2,58.5,62.5,68.4,71.1,74.5,83.5,93.1,100.5,106.9,109.1,103.5
People's Rep. of China,829.6,906.7,1035.6,1179.2,1333.1,1479,1625.9,1776,1915.1,2062,2237.1,2423.7,2644.9,2910.4,3204.7,3569.9,4023.9,4596.6,5040.3,5514.1,6100.6,6682.4,7207.4,7766.5,8333.3,8909.8
"Hong Kong, China",104.1,110,116.9,124.2,131.7,134.8,140.5,147.7,139,142.5,153.4,154.3,156.8,161.6,175.7,188.6,201.9,215,219.5,214.1,228.6,239.6,243.7,251.2,258,264.3
Argentina,194.4,219,245.2,259.7,274.8,267,281.8,304.6,316.4,305.6,303.2,289.9,258.3,281.1,306.5,333.6,360.5,392.9,408.9,384.7,423.6,449.1,444.5,455.6,444.2,455.9
Bolivia,9.3,9.8,10,10.4,10.9,11.4,11.9,12.5,13.1,13.2,13.5,13.7,14,14.4,15,15.7,16.4,17.2,18.3,18.9,19.7,20.7,21.7,23.2,24.5,25.7
Brazil,1192.7,1210.8,1205.1,1261.3,1328.6,1387.3,1417.9,1466.1,1471,1477.9,1538.7,1560.1,1607.7,1626.1,1719.7,1774.8,1845.1,1957.1,2056.8,2054.2,2208.9,2296.7,2340.8,2409.5,2421.6,2330.4
Colombia,148.1,151.4,159,162.8,172.3,181.3,185,191.3,192.4,184.3,192.5,195.7,200.6,208.5,219.6,229.9,245.3,262.3,271.6,276.1,287,305.9,318.3,333.8,348.5,359.2
Costa Rica,15.2,15.6,17,18.2,19.1,19.8,20.1,21.2,22.7,23.6,24.5,25.3,26.1,27.3,28.4,29.5,31.7,34.3,35.9,35.5,37.3,38.9,40.7,41.6,42.8,44.4
Cuba,44.7,39.9,35.3,30.1,30.3,31,33.5,34.4,34.4,36.6,38.7,40,40.5,42.1,44.5,49.5,55.5,59.5,61.9,62.8,64.3,66.1,68.1,70,70.7,73.9
Curaçao,1.7,1.8,1.8,1.8,1.9,1.9,2,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.6,2.7,2.7,2.6,2.7,2.7,1.8,1.8,1.9,1.8
Dominican Republic,18.5,18.7,20.7,22.2,22.7,23.9,25.6,27.7,29.6,31.6,33.4,34,36,35.9,36.4,39.7,44,47.8,49.3,49.8,54,55.6,57.2,59.9,64.5,69
Ecuador,38,39.7,40.5,41.3,43,44,44.8,46.7,48.2,46,46.5,48.3,50.3,51.7,55.9,58.9,61.5,62.8,66.8,67.2,69.6,75,79.3,83.2,86.5,86.6
El Salvador,11.3,11.7,12.6,13.6,14.4,15.3,15.6,16.2,16.8,17.4,17.8,18.1,18.5,18.9,19.3,20,20.7,21.5,21.8,21.1,21.4,21.9,22.3,22.7,23,23.6
Guatemala,19.9,20.6,21.6,22.5,23.4,24.5,25.2,26.3,27.7,28.7,29.8,30.5,31.6,32.4,33.5,34.6,36.4,38.7,40,40.2,41.3,43.1,44.3,46,47.9,49.9
Haiti,6.3,6.4,6.3,6,5.3,5.8,6,6.2,6.3,6.5,6.6,6.5,6.5,6.5,6.3,6.4,6.5,6.7,6.8,7,6.6,7,7.2,7.5,7.7,7.8
Honduras,7.6,7.8,8.3,8.8,8.7,9,9.4,9.8,10.1,9.9,10.5,10.8,11.2,11.7,12.4,13.2,14,14.9,15.5,15.2,15.7,16.3,17,17.5,18,18.7
Jamaica,10.3,10.8,11.1,12.1,12.3,12.6,12.5,12.4,12.1,12.2,12.3,12.5,12.8,13.2,13.4,13.5,13.9,14.1,14,13.4,13.2,13.4,13.3,13.4,13.5,13.6
Nicaragua,4.7,4.7,4.7,4.7,4.9,5.2,5.5,5.7,5.9,6.4,6.6,6.8,6.9,7,7.4,7.7,8,8.5,8.7,8.5,8.7,9.3,9.8,10.3,10.7,11.2
